endereco,bairro,dia,horario,ra,cidade,uf,pais,endereco_completo,id,lat,lon,geocode_status,geocode_provider,precision,geocode_precision,geocode_query
"LIVRAMENTO DO, RUA",SAUDE,Sexta-Feira,07:00 H ÀS 13:00 H,01-Portuária,Rio de Janeiro,RJ,Brasil,"LIVRAMENTO DO, RUA, SAUDE, Rio de Janeiro, RJ, Brasil",5d34a532f2b8,-22.8971835,-43.1841545,ok,nominatim,,neighborhood,"SAUDE, Rio de Janeiro, RJ, Brasil"
"GAL. GURJAO, RUA",CAJU,Domingo,07:00 H ÀS 13:00 H,01-Portuária,Rio de Janeiro,RJ,Brasil,"GAL. GURJAO, RUA, CAJU, Rio de Janeiro, RJ, Brasil",aafaf596cb9b,-22.8803063,-43.2214936,ok,nominatim,,neighborhood,"CAJU, Rio de Janeiro, RJ, Brasil"
"TADEU KOSCIUSKO / CARLOS SAMPAIO, RUA",CENTRO,Sábado,07:00 H ÀS 13:00 H,02-Centro,Rio de Janeiro,RJ,Brasil,"TADEU KOSCIUSKO / CARLOS SAMPAIO, RUA, CENTRO, Rio de Janeiro, RJ, Brasil",bb284518e45a,-22.2800004,-42.5325303,ok,nominatim,,unknown,"CENTRO, Rio de Janeiro, RJ, Brasil"
"CONDE LAGES, RUA",CENTRO,Quinta-Feira,07:00 H ÀS 13:00 H,02-Centro,Rio de Janeiro,RJ,Brasil,"CONDE LAGES, RUA, CENTRO, Rio de Janeiro, RJ, Brasil",bc572129fbec,-22.2800004,-42.5325303,ok,nominatim,,unknown,"CENTRO, Rio de Janeiro, RJ, Brasil"
"EMILIA GUIMARAES, RUA",CATUMBI,Segunda-Feira,07:00 H ÀS 13:00 H,03-Rio Comprido,Rio de Janeiro,RJ,Brasil,"EMILIA GUIMARAES, RUA, CATUMBI, Rio de Janeiro, RJ, Brasil",bbedf259b308,-22.9194542,-43.1970806,ok,nominatim,,neighborhood,"CATUMBI, Rio de Janeiro, RJ, Brasil"
"BARAO DE SERTORIO, RUA",RIO COMPRIDO,Quarta-Feira,07:00 H ÀS 13:00 H,03-Rio Comprido,Rio de Janeiro,RJ,Brasil,"BARAO DE SERTORIO, RUA, RIO COMPRIDO, Rio de Janeiro, RJ, Brasil",5e258c270235,-22.9279449,-43.2088566,ok,nominatim,,neighborhood,"RIO COMPRIDO, Rio de Janeiro, RJ, Brasil"
"COSTA FERRAZ, RUA",RIO COMPRIDO,Sábado,07:00 H ÀS 13:00 H,03-Rio Comprido,Rio de Janeiro,RJ,Brasil,"COSTA FERRAZ, RUA, RIO COMPRIDO, Rio de Janeiro, RJ, Brasil",094b06095300,-22.9279449,-43.2088566,ok,nominatim,,neighborhood,"RIO COMPRIDO, Rio de Janeiro, RJ, Brasil"
"CEL. CASTELO BRANCO, PCA",CIDADE NOVA,Quinta-Feira,07:00 H ÀS 13:00 H,03-Rio Comprido,Rio de Janeiro,RJ,Brasil,"CEL. CASTELO BRANCO, PCA, CIDADE NOVA, Rio de Janeiro, RJ, Brasil",28bb268c8bea,-22.9100508,-43.201756,ok,nominatim,,neighborhood,"CIDADE NOVA, Rio de Janeiro, RJ, Brasil"
"SAMPAIO FERRAZ, RUA",ESTACIO,Quarta-Feira,07:00 H ÀS 13:00 H,03-Rio Comprido,Rio de Janeiro,RJ,Brasil,"SAMPAIO FERRAZ, RUA, ESTACIO, Rio de Janeiro, RJ, Brasil",ec00b2808f21,-22.9166265,-43.20363,ok,nominatim,,neighborhood,"ESTACIO, Rio de Janeiro, RJ, Brasil"
"GAL ARGOLO, RUA",SAO CRISTOVAO,Quinta-Feira,07:00 H ÀS 13:00 H,07-São Cristóvão,Rio de Janeiro,RJ,Brasil,"GAL ARGOLO, RUA, SAO CRISTOVAO, Rio de Janeiro, RJ, Brasil",dedcbba56718,-22.899318,-43.2219346,ok,nominatim,,neighborhood,"SAO CRISTOVAO, Rio de Janeiro, RJ, Brasil"
"GAL BRUCE, RUA",SAO CRISTOVAO,Domingo,07:00 H ÀS 13:00 H,07-São Cristóvão,Rio de Janeiro,RJ,Brasil,"GAL BRUCE, RUA, SAO CRISTOVAO, Rio de Janeiro, RJ, Brasil",3a377143a833,-22.899318,-43.2219346,ok,nominatim,,neighborhood,"SAO CRISTOVAO, Rio de Janeiro, RJ, Brasil"
RUA TEREZINA,SANTA TERESA,Sexta-Feira,07:00 H ÀS 13:00 H,23-Santa Teresa,Rio de Janeiro,RJ,Brasil,"RUA TEREZINA, SANTA TERESA, Rio de Janeiro, RJ, Brasil",0b3de3a7b367,-22.9209485,-43.1882594,ok,nominatim,,unknown,"RUA TEREZINA, SANTA TERESA, Rio de Janeiro, RJ, Brasil"
"AUGUSTO SEVERO, AV",GLORIA,Domingo,07:00 H ÀS 13:00 H,04-Botafogo,Rio de Janeiro,RJ,Brasil,"AUGUSTO SEVERO, AV, GLORIA, Rio de Janeiro, RJ, Brasil",ad94267fdb64,-22.9198604,-43.1751631,ok,nominatim,,unknown,"AUGUSTO SEVERO, AV, GLORIA, Rio de Janeiro, RJ, Brasil"
