id,tipo,nome,endereco,bairro,cidade,uf,pais,endereco_completo,dia,horario,ra,lat,lon,geocode_status,geocode_precision,geocode_provider,geocode_query
3bd68a952f2d,Cozinha Comunitária,APAE,"Rua Bom Pastor, 41",Tijuca,Rio de Janeiro,RJ,Brasil,"Rua Bom Pastor, 41, Tijuca, Rio de Janeiro, RJ, Brasil",,,,-22.9299581,-43.2324417,ok,street,nominatim,"Rua Bom Pastor, 41, Tijuca, Rio de Janeiro, RJ, Brasil"
99c23e6f921e,Cozinha Comunitária,ASSOCIAÇÃO DE MORADORES DE ACAR I,"Rua Piracambu, 605",Acari,Rio de Janeiro,RJ,Brasil,"Rua Piracambu, 605, Acari, Rio de Janeiro, RJ, Brasil",,,,-22.8221528,-43.3406743,ok,neighborhood,nominatim,"Acari, Rio de Janeiro, RJ, Brasil"
41b5bacecc42,Cozinha Comunitária,ATUNBI,"Rua Baronesa, 782",Praça Seca,Rio de Janeiro,RJ,Brasil,"Rua Baronesa, 782, Praça Seca, Rio de Janeiro, RJ, Brasil",,,,-22.9016649,-43.3453724,ok,street,nominatim,"Rua Baronesa, 782, Praça Seca, Rio de Janeiro, RJ, Brasil"
11d3a818af31,Cozinha Comunitária,BIBLIOTECA A CASA AMARELA,"Rua Delfina da Cunha, 214",Anchieta,Rio de Janeiro,RJ,Brasil,"Rua Delfina da Cunha, 214, Anchieta, Rio de Janeiro, RJ, Brasil",,,,-22.8214159,-43.4047474,ok,street,nominatim,"Rua Delfina da Cunha, 214, Anchieta, Rio de Janeiro, RJ, Brasil"
55c14c5d6d33,Cozinha Comunitária,CASA COSTA MATOS,"Rua Capitão Teixeira, 583",Realengo,Rio de Janeiro,RJ,Brasil,"Rua Capitão Teixeira, 583, Realengo, Rio de Janeiro, RJ, Brasil",,,,-22.8869979,-43.4231147,ok,street,nominatim,"Rua Capitão Teixeira, 583, Realengo, Rio de Janeiro, RJ, Brasil"
eabfc324a234,Cozinha Comunitária,CASA NAILS,"Rua Irapuá, 158",Penha Circular,Rio de Janeiro,RJ,Brasil,"Rua Irapuá, 158, Penha Circular, Rio de Janeiro, RJ, Brasil",,,,-22.8367145,-43.2914373,ok,street,nominatim,"Rua Irapuá, 158, Penha Circular, Rio de Janeiro, RJ, Brasil"
b93a2801442a,Cozinha Comunitária,COZINHA COMUNITÁRIA BEIRA RIO,"Rua da Servidão, 311, G7, Lote 84- Lojas A e B Condomínio “Do Val”- Beira Rio",Recreio,Rio de Janeiro,RJ,Brasil,"Rua da Servidão, 311, G7, Lote 84- Lojas A e B Condomínio “Do Val”- Beira Rio, Recreio, Rio de Janeiro, RJ, Brasil",,,,-22.51201,-41.9236578,ok,neighborhood,nominatim,"Recreio, Rio de Janeiro, RJ, Brasil"
a15a5d29238c,Cozinha Comunitária,CENTRO COMUNITÁRIO 777,"Rua Francisco Bricio, 306",Padre Miguel,Rio de Janeiro,RJ,Brasil,"Rua Francisco Bricio, 306, Padre Miguel, Rio de Janeiro, RJ, Brasil",,,,-22.8788135,-43.4485569,ok,neighborhood,nominatim,"Padre Miguel, Rio de Janeiro, RJ, Brasil"
ea5f76fa552c,Cozinha Comunitária,CENTRO SOCIAL AMIGOS DA NOVA SEPETIBA,"Avenida 2, 360",Nova Sepetiba,Rio de Janeiro,RJ,Brasil,"Avenida 2, 360, Nova Sepetiba, Rio de Janeiro, RJ, Brasil",,,,-22.9579159,-43.6878168,ok,street,nominatim,"Avenida 2, 360, Nova Sepetiba, Rio de Janeiro, RJ, Brasil"
af3293a9ac4f,Cozinha Comunitária,CONGREGAÇÃO MARIANA,"Rua Godofredo Viana, 64",Tanque,Rio de Janeiro,RJ,Brasil,"Rua Godofredo Viana, 64, Tanque, Rio de Janeiro, RJ, Brasil",,,,-22.9124716,-43.3609356,ok,street,nominatim,"Rua Godofredo Viana, 64, Tanque, Rio de Janeiro, RJ, Brasil"
5b3af133d9f1,Cozinha Comunitária,COZINHA COMUNITÁRIA ALIMENTO DUPLO,"Rua Fortaleza, 01 (Praça da Ladeira dos Funcionários)",Caju,Rio de Janeiro,RJ,Brasil,"Rua Fortaleza, 01 (Praça da Ladeira dos Funcionários), Caju, Rio de Janeiro, RJ, Brasil",,,,-22.8803063,-43.2214936,ok,neighborhood,nominatim,"Caju, Rio de Janeiro, RJ, Brasil"
2506c66b4c57,Cozinha Comunitária,COZINHA COMUNITÁRIA ALTO DA CACHAMORRA,"Estrada da Cachamorra, 6133",Campo Grande,Rio de Janeiro,RJ,Brasil,"Estrada da Cachamorra, 6133, Campo Grande, Rio de Janeiro, RJ, Brasil",,,,-22.9462411,-43.5571781,ok,neighborhood,nominatim,"Estrada da Cachamorra, 6133, Campo Grande, Rio de Janeiro, RJ, Brasil"
